from,to,relation,weight
th,sh,1,3
th,jr,1,3
th,os,1,3
th,cv,1,3
th,wp,1,3
th,ra,1,3
th,bg,1,3
th,hj,1,3
th,ho,1,3
th,fr,1,3
th,bs,1,3
th,vb,2,3
th,me,4,1
th,mb,4,1
th,st,4,1
th,ja,4,1
th,vr,2,2
th,fp,2,2
th,bm,6,2
th,wk,5,1
th,da,4,1
th,gb,5,1
th,jk,5,1
th,tb,5,1
th,vz,5,1
th,fm,5,1
th,vs,2,1
sh,th,1,2
sh,jr,1,3
sh,os,1,3
sh,cv,1,3
sh,wp,1,3
sh,ra,1,3
sh,bg,1,3
sh,hj,1,3
sh,ho,1,3
sh,fr,1,3
sh,bs,1,3
sh,vb,2,3
sh,me,4,3
sh,mb,4,1
sh,sh,4,1
sh,ja,4,1
sh,vr,2,1
sh,fp,2,2
sh,wk,5,2
sh,da,4,1
sh,jk,5,1
sh,tb,5,1
sh,vz,5,1
sh,fm,5,1
sh,sm,2,1
jr,th,1,1
jr,sh,1,1
jr,os,1,3
jr,cv,1,3
jr,wp,1,3
jr,ra,1,3
jr,bg,1,3
jr,hj,1,3
jr,ho,1,3
jr,fr,1,3
jr,bs,1,3
jr,vb,2,3
jr,sw,4,3
jr,me,4,3
jr,mb,4,1
jr,st,4,1
jr,ja,4,1
jr,vr,2,1
jr,fp,2,1
jr,wk,5,2
jr,da,4,2
jr,gb,5,1
jr,jk,5,1
jr,tb,5,1
jr,vz,5,1
jr,sm,2,1
os,th,1,1
os,sh,1,1
os,jr,1,2
os,cv,1,3
os,wp,1,3
os,ra,1,3
os,bg,1,3
os,hj,1,3
os,ho,1,3
os,fr,1,3
os,bs,1,3
os,vb,2,3
os,me,4,3
os,mb,4,3
os,st,4,3
os,ja,4,1
os,vr,2,1
os,fp,2,1
os,fb,NA,1
os,sn,NA,2
os,wk,5,2
os,da,4,2
os,ak,NA,1
os,gb,5,1
os,jk,5,1
os,tb,5,1
os,vz,5,1
os,fm,5,1
os,vs,NA,1
os,sm,2,1
os,kc,NA,1
os,pf,NA,
cv,th,1,1
cv,sh,1,
cv,jr,1,2
cv,os,1,2
cv,wp,1,
cv,ra,1,
cv,bg,1,3
cv,hj,1,3
cv,ho,1,3
cv,fr,1,3
cv,bs,1,3
cv,vb,2,3
cv,sw,4,3
cv,me,4,3
cv,mb,4,3
cv,st,4,3
cv,ja,4,3
cv,vr,2,2
cv,fp,2,1
cv,fb,NA,1
cv,sn,NA,1
cv,wk,5,1
cv,da,4,1
cv,ak,NA,2
cv,gb,5,2
cv,jk,5,
cv,tb,5,
cv,vz,5,1
cv,fm,5,1
cv,vs,NA,
cv,sm,2,1
cv,kc,NA,1
cv,pf,2,1
wp,th,1,1
wp,sh,1,1
wp,jr,1,1
wp,os,1,
wp,cv,1,2
wp,ra,1,
wp,bg,1,
wp,hj,1,2
wp,ho,1,3
wp,fr,1,3
wp,bs,1,3
wp,vb,2,3
wp,sw,4,3
wp,me,4,3
wp,mb,4,3
wp,st,4,3
wp,ja,4,3
wp,vr,2,3
wp,fp,2,3
wp,wk,5,2
wp,da,2,1
wp,gb,5,1
wp,jk,5,1
wp,tb,5,1
wp,vz,5,1
wp,fm,5,2
wp,sm,2,2
ra,th,1,1
ra,sh,1,2
ra,jr,1,1
ra,os,1,1
ra,cv,1,1
ra,wp,1,1
ra,bg,1,1
ra,hj,1,2
ra,ho,1,2
ra,fr,1,3
ra,bs,1,3
ra,vb,2,3
ra,me,4,3
ra,mb,4,3
ra,st,4,3
ra,ja,4,3
ra,vr,2,3
ra,fp,2,3
ra,fb,6,3
ra,wk,5,3
ra,da,4,2
ra,gb,5,1
ra,jk,5,1
ra,tb,5,1
ra,vz,5,1
ra,fm,5,2
ra,sm,2,2
bg,th,1,2
bg,sh,1,1
bg,jr,1,1
bg,os,1,1
bg,cv,1,1
bg,wp,1,1
bg,ra,1,1
bg,hj,1,1
bg,ho,1,1
bg,fr,1,2
bg,bs,1,3
bg,vb,2,3
bg,me,4,3
bg,mb,4,3
bg,sh,4,3
bg,ja,4,3
bg,vr,2,3
bg,fp,2,3
bg,fb,6,3
bg,wk,5,3
bg,da,4,3
bg,gb,5,2
bg,jk,5,1
bg,tb,5,1
bg,vz,5,1
bg,fm,5,1
bg,sm,2,2
hj,th,1,2
hj,sh,1,2
hj,jr,1,1
hj,os,1,1
hj,cv,1,1
hj,wp,1,1
hj,ra,1,1
hj,bg,1,1
hj,ho,1,1
hj,fr,1,1
hj,bs,1,2
hj,vb,2,3
hj,me,4,3
hj,mb,4,3
hj,st,4,3
hj,ja,4,3
hj,vr,2,3
hj,fp,2,3
hj,fb,6,3
hj,wk,5,3
hj,da,4,3
hj,ak,2,3
hj,gb,5,2
hj,jk,5,1
hj,tb,5,1
hj,vz,5,1
hj,fm,5,1
hj,sm,2,2
ho,th,1,2
ho,sh,1,2
ho,jr,1,1
ho,os,1,1
ho,cv,1,2
ho,wp,1,1
ho,ra,1,1
ho,bg,1,1
ho,hj,1,1
ho,fr,1,1
ho,bs,1,1
ho,vb,2,2
ho,sw,NA,3
ho,me,4,3
ho,mb,4,3
ho,st,4,3
ho,ja,4,3
ho,vr,2,3
ho,fp,2,3
ho,fb,6,3
ho,sn,NA,3
ho,wk,5,3
ho,da,4,3
ho,ak,NA,2
ho,gb,5,1
ho,jk,5,1
ho,tb,5,1
ho,vz,5,1
ho,fm,5,2
ho,vs,NA,2
ho,sm,2,2
fr,th,1,1
fr,sh,1,1
fr,jr,1,1
fr,os,1,1
fr,cv,1,1
fr,wp,1,1
fr,ra,1,1
fr,bg,1,1
fr,hj,1,2
fr,ho,1,3
fr,bs,1,3
fr,vb,2,3
fr,me,2,3
fr,mb,2,3
fr,st,4,3
fr,ja,4,3
fr,vr,2,3
fr,fp,2,3
fr,fb,6,3
fr,wk,5,3
fr,da,4,2
fr,gb,5,2
fr,jk,5,2
fr,tb,5,1
fr,vz,5,1
fr,fm,5,2
fr,sm,2,2
bs,th,1,2
bs,sh,1,1
bs,jr,1,1
bs,os,1,1
bs,cv,1,1
bs,wp,1,1
bs,ra,1,1
bs,bg,1,1
bs,hj,1,1
bs,ho,1,2
bs,fr,1,3
bs,vb,2,3
bs,me,4,3
bs,mb,4,3
bs,st,4,3
bs,ja,4,3
bs,vr,2,3
bs,fp,2,3
bs,fb,6,3
bs,wk,5,3
bs,da,4,3
